// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Users\Bart\VS_Code_Projects\DiscreteKnapsackProblem\bin\Release\net5.0\f8da4de5-1183-4f80-8d3f-4bf9f1051537
// command took 1,08s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Users\Bart\VS_Code_Projects\DiscreteKnapsackProblem\bin\Release\net5.0\f8da4de5-1183-4f80-8d3f-4bf9f1051537
// command took 1,96s and exited with 0
// ***** Done, took 00:00:03 (3.1 sec)   *****
// Found 3 benchmarks:
//   RecursiveKnapsackSolverBenchmark.GetSolverBenchmark: DefaultJob
//   RecursiveKnapsackSolverBenchmark.GetSolverSecondBenchmark: DefaultJob
//   RecursiveKnapsackSolverBenchmark.GetSolverFromCFGBenchmark: DefaultJob

// **************************
// Benchmark: RecursiveKnapsackSolverBenchmark.GetSolverBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f8da4de5-1183-4f80-8d3f-4bf9f1051537.dll" --benchmarkName "DiscreteKnapsackProblem.RecursiveKnapsackSolverBenchmark.GetSolverBenchmark" --job "Default" --benchmarkId 0 in D:\Users\Bart\VS_Code_Projects\DiscreteKnapsackProblem\bin\Release\net5.0\f8da4de5-1183-4f80-8d3f-4bf9f1051537\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.5 (CoreCLR 5.0.521.16609, CoreFX 5.0.521.16609), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 153500.00 ns, 153.5000 us/op
WorkloadJitting  1: 1 op, 1004373600.00 ns, 1.0044 s/op

WorkloadWarmup   1: 1 op, 949890000.00 ns, 949.8900 ms/op
WorkloadWarmup   2: 1 op, 955874900.00 ns, 955.8749 ms/op
WorkloadWarmup   3: 1 op, 956922400.00 ns, 956.9224 ms/op
WorkloadWarmup   4: 1 op, 959063000.00 ns, 959.0630 ms/op
WorkloadWarmup   5: 1 op, 962989400.00 ns, 962.9894 ms/op
WorkloadWarmup   6: 1 op, 954640200.00 ns, 954.6402 ms/op
WorkloadWarmup   7: 1 op, 956631100.00 ns, 956.6311 ms/op
WorkloadWarmup   8: 1 op, 960118200.00 ns, 960.1182 ms/op
WorkloadWarmup   9: 1 op, 922668300.00 ns, 922.6683 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 919965300.00 ns, 919.9653 ms/op
WorkloadActual   2: 1 op, 914054300.00 ns, 914.0543 ms/op
WorkloadActual   3: 1 op, 943717800.00 ns, 943.7178 ms/op
WorkloadActual   4: 1 op, 933241100.00 ns, 933.2411 ms/op
WorkloadActual   5: 1 op, 923932500.00 ns, 923.9325 ms/op
WorkloadActual   6: 1 op, 920505900.00 ns, 920.5059 ms/op
WorkloadActual   7: 1 op, 923534600.00 ns, 923.5346 ms/op
WorkloadActual   8: 1 op, 920291800.00 ns, 920.2918 ms/op
WorkloadActual   9: 1 op, 931352200.00 ns, 931.3522 ms/op
WorkloadActual  10: 1 op, 927311300.00 ns, 927.3113 ms/op
WorkloadActual  11: 1 op, 918706900.00 ns, 918.7069 ms/op
WorkloadActual  12: 1 op, 918989200.00 ns, 918.9892 ms/op
WorkloadActual  13: 1 op, 920374900.00 ns, 920.3749 ms/op
WorkloadActual  14: 1 op, 917319700.00 ns, 917.3197 ms/op
WorkloadActual  15: 1 op, 915880900.00 ns, 915.8809 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 919965300.00 ns, 919.9653 ms/op
WorkloadResult   2: 1 op, 914054300.00 ns, 914.0543 ms/op
WorkloadResult   3: 1 op, 933241100.00 ns, 933.2411 ms/op
WorkloadResult   4: 1 op, 923932500.00 ns, 923.9325 ms/op
WorkloadResult   5: 1 op, 920505900.00 ns, 920.5059 ms/op
WorkloadResult   6: 1 op, 923534600.00 ns, 923.5346 ms/op
WorkloadResult   7: 1 op, 920291800.00 ns, 920.2918 ms/op
WorkloadResult   8: 1 op, 931352200.00 ns, 931.3522 ms/op
WorkloadResult   9: 1 op, 927311300.00 ns, 927.3113 ms/op
WorkloadResult  10: 1 op, 918706900.00 ns, 918.7069 ms/op
WorkloadResult  11: 1 op, 918989200.00 ns, 918.9892 ms/op
WorkloadResult  12: 1 op, 920374900.00 ns, 920.3749 ms/op
WorkloadResult  13: 1 op, 917319700.00 ns, 917.3197 ms/op
WorkloadResult  14: 1 op, 915880900.00 ns, 915.8809 ms/op
GC:  0 0 0 1632 1
Threading:  2 0 1

// AfterAll
// Benchmark Process 68688 has exited with code 0

Mean = 921.819 ms, StdErr = 1.486 ms (0.16%), N = 14, StdDev = 5.561 ms
Min = 914.054 ms, Q1 = 918.777 ms, Median = 920.333 ms, Q3 = 923.833 ms, Max = 933.241 ms
IQR = 5.056 ms, LowerFence = 911.194 ms, UpperFence = 931.416 ms
ConfidenceInterval = [915.546 ms; 928.092 ms] (CI 99.9%), Margin = 6.273 ms (0.68% of Mean)
Skewness = 0.71, Kurtosis = 2.37, MValue = 2

// **************************
// Benchmark: RecursiveKnapsackSolverBenchmark.GetSolverSecondBenchmark: DefaultJob
// *** Execute ***
// Launch: 1 / 1
